/Library/Frameworks/Python.framework/Versions/3.5/bin/python3 /Users/harper/IdeaProjects/TTIC31210/hw2/lm_hingeloss.py
Initial dev accuracy 0.0005, test accuracy 0.0001
Epoch 80, time 25 secs, train loss 9.1710, train accuracy 0.7192, dev accuracy 0.2888, test accuracy 0.2791
Epoch 81, time 25 secs, train loss 9.1437, train accuracy 0.7190, dev accuracy 0.2958, test accuracy 0.2905
Epoch 82, time 25 secs, train loss 9.1097, train accuracy 0.7240, dev accuracy 0.2995, test accuracy 0.2886
Epoch 83, time 25 secs, train loss 9.0971, train accuracy 0.7243, dev accuracy 0.3036, test accuracy 0.2910
Epoch 84, time 25 secs, train loss 9.0823, train accuracy 0.7252, dev accuracy 0.2965, test accuracy 0.2873
Epoch 85, time 25 secs, train loss 9.0526, train accuracy 0.7308, dev accuracy 0.2956, test accuracy 0.2869
Epoch 86, time 25 secs, train loss 9.0686, train accuracy 0.7338, dev accuracy 0.2800, test accuracy 0.2739
Epoch 87, time 25 secs, train loss 9.0222, train accuracy 0.7348, dev accuracy 0.2987, test accuracy 0.2900
Epoch 88, time 25 secs, train loss 8.9945, train accuracy 0.7360, dev accuracy 0.2942, test accuracy 0.2874
Epoch 89, time 26 secs, train loss 8.9967, train accuracy 0.7382, dev accuracy 0.2923, test accuracy 0.2851
Epoch 90, time 25 secs, train loss 8.9842, train accuracy 0.7391, dev accuracy 0.2956, test accuracy 0.2895
Epoch 91, time 25 secs, train loss 8.9733, train accuracy 0.7401, dev accuracy 0.3025, test accuracy 0.2922
Epoch 92, time 25 secs, train loss 8.9545, train accuracy 0.7399, dev accuracy 0.2898, test accuracy 0.2791
Epoch 93, time 25 secs, train loss 8.9612, train accuracy 0.7435, dev accuracy 0.2819, test accuracy 0.2766
Epoch 94, time 25 secs, train loss 8.9136, train accuracy 0.7455, dev accuracy 0.2913, test accuracy 0.2844
Epoch 95, time 25 secs, train loss 8.9117, train accuracy 0.7469, dev accuracy 0.2981, test accuracy 0.2849
Epoch 96, time 25 secs, train loss 8.9032, train accuracy 0.7456, dev accuracy 0.2819, test accuracy 0.2734
Epoch 97, time 24 secs, train loss 8.9122, train accuracy 0.7467, dev accuracy 0.3006, test accuracy 0.2884
Epoch 98, time 22 secs, train loss 8.8860, train accuracy 0.7472, dev accuracy 0.2869, test accuracy 0.2768
Epoch 99, time 24 secs, train loss 8.8803, train accuracy 0.7474, dev accuracy 0.2892, test accuracy 0.2819
